decision,idealism,relatvsm,gender,cosmetic,theory,meat,veterin
0,7.3000,6.0000,1,0,1,0,0
0,7.9000,4.0000,0,0,1,0,0
0,3.4000,6.2000,0,0,1,0,0
1,7.4000,6.7000,1,0,1,0,0
0,7.8000,4.2000,1,0,1,0,0
1,4.9000,6.7000,0,0,1,0,0
0,8.4000,6.0000,0,0,1,0,0
1,5.4000,5.9000,1,0,1,0,0
1,7.0000,6.3000,1,0,1,0,0
0,4.8000,3.8000,0,0,1,0,0
0,8.1000,6.0000,1,0,1,0,0
0,5.8000,6.2000,0,0,1,0,0
0,8.3000,5.2000,0,0,1,0,0
1,4.7000,4.0000,0,0,1,0,0
1,6.8000,6.5000,1,0,1,0,0
1,3.6000,6.1000,0,0,1,0,0
0,6.3000,6.7000,0,0,1,0,0
0,5.2000,6.3000,0,0,1,0,0
0,7.4000,8.9000,0,0,1,0,0
0,7.0000,5.9000,0,0,1,0,0
0,8.6000,6.4000,0,0,1,0,0
1,4.9000,5.9000,1,0,1,0,0
1,6.1000,5.4000,1,0,1,0,0
0,6.4000,5.9000,0,0,1,0,0
0,7.0000,8.1000,1,0,1,0,0
1,5.0000,7.0000,0,0,1,0,0
1,4.8000,6.6000,1,0,1,0,0
0,8.1000,6.5000,0,0,1,0,0
1,6.3000,5.9000,0,0,1,0,0
0,6.8000,5.1000,0,0,1,0,0
0,7.3000,6.8000,0,0,1,0,0
1,5.8000,4.8000,1,0,1,0,0
0,8.2000,5.4000,0,0,1,0,0
0,4.1000,6.8000,0,0,1,0,0
0,8.5000,3.7000,0,0,1,0,0
0,7.0000,5.1000,1,0,1,0,0
0,4.4000,4.9000,1,0,1,0,0
0,8.2000,5.0000,1,0,1,0,0
0,8.6000,4.3000,0,0,1,0,0
0,5.2000,5.0000,1,0,1,0,0
0,9.0000,4.2000,1,0,1,0,0
1,5.1000,6.5000,0,0,1,0,0
0,7.2000,5.4000,0,0,1,0,0
0,5.5000,7.4000,0,0,1,0,0
0,6.2000,6.1000,0,0,1,0,0
0,6.7000,5.1000,0,0,1,0,0
1,4.0000,3.3000,0,0,1,0,0
0,7.6000,4.2000,0,0,1,0,0
0,5.5000,5.7000,1,0,1,0,0
0,8.8000,5.1000,0,0,1,0,0
0,6.8000,6.8000,0,0,1,0,0
1,5.7000,5.6000,1,0,0,1,0
0,6.2000,7.9000,0,0,0,1,0
0,8.2000,3.1000,0,0,0,1,0
0,7.2000,6.1000,0,0,0,1,0
1,8.6000,6.0000,0,0,0,1,0
0,7.3000,6.3000,0,0,0,1,0
1,5.8000,7.0000,1,0,0,1,0
1,4.3000,4.9000,0,0,0,1,0
1,5.9000,7.4000,0,0,0,1,0
0,6.6000,5.4000,0,0,0,1,0
0,7.7000,7.0000,0,0,0,1,0
1,7.4000,4.8000,1,0,0,1,0
1,5.7000,7.1000,0,0,0,1,0
1,6.5000,5.8000,0,0,0,1,0
0,8.6000,3.5000,1,0,0,1,0
0,8.0000,5.4000,0,0,0,1,0
1,5.3000,3.2000,0,0,0,1,0
0,8.6000,4.7000,0,0,0,1,0
0,3.7000,5.9000,0,0,0,1,0
0,7.8000,5.9000,0,0,0,1,0
1,4.3000,6.9000,1,0,0,1,0
1,6.6000,6.5000,0,0,0,1,0
0,6.8000,7.2000,1,0,0,1,0
1,3.4000,5.3000,1,0,0,1,0
0,4.4000,6.1000,1,0,0,1,0
0,7.7778,4.4000,0,0,0,1,0
1,8.1000,6.6000,0,0,0,1,0
0,5.7000,6.6667,0,0,0,1,0
0,6.7000,6.4000,1,0,0,1,0
0,6.8000,3.2000,0,0,0,1,0
0,6.9000,6.3000,1,0,0,1,0
0,5.0000,5.6000,1,0,0,1,0
1,6.0000,7.1000,1,0,0,1,0
0,6.1000,6.1000,0,0,0,1,0
0,6.7000,6.2000,0,0,0,1,0
1,8.0000,7.1000,1,0,0,1,0
0,6.9000,3.1000,0,0,0,1,0
0,4.5000,6.2000,0,0,0,1,0
0,6.4000,6.2000,0,0,0,1,0
0,7.9000,5.6000,0,0,0,1,0
1,3.2000,6.7000,1,0,0,1,0
0,5.7000,5.3000,0,0,0,1,0
1,6.4000,6.6000,1,0,0,1,0
1,8.3000,7.7000,0,0,0,1,0
0,6.8000,4.2000,0,0,0,1,0
0,6.8000,5.6000,0,0,0,1,0
0,6.6000,5.9000,0,0,0,1,0
0,6.5000,7.1000,0,0,0,1,0
0,6.6000,6.2000,1,0,0,1,0
1,6.3000,6.0000,0,0,0,1,0
0,6.0000,7.6000,0,0,0,1,0
0,6.2000,5.8000,0,0,0,1,0
1,5.4000,6.3000,1,0,0,1,0
0,7.4000,7.7000,0,0,0,1,0
0,8.0000,6.2000,0,0,0,1,0
0,4.9000,5.4444,1,0,0,1,0
0,7.7000,4.9000,0,0,0,1,0
1,5.1000,5.4000,1,0,0,1,0
0,6.0000,6.5000,0,0,0,1,0
1,5.6000,5.8000,1,0,0,1,0
1,5.1000,5.1000,0,0,0,1,0
0,6.3333,7.9000,1,0,0,1,0
0,6.1000,5.1000,0,0,0,1,0
0,7.4000,5.6000,0,0,0,0,1
0,7.5000,6.7000,0,0,0,0,1
0,7.6000,5.2000,0,0,0,0,1
0,7.1000,5.3000,0,0,0,0,1
0,6.3000,8.3000,0,0,0,0,1
0,7.2000,4.6000,0,0,0,0,1
1,7.9000,5.7000,1,0,0,0,1
1,4.7000,6.8000,1,0,0,0,1
1,7.5000,7.4000,1,0,0,0,1
0,7.5000,6.9000,0,0,0,0,1
1,4.4000,7.1000,0,0,0,0,1
1,5.8000,7.8000,0,0,0,0,1
0,7.1000,8.3000,0,0,0,0,1
1,5.0000,6.4000,1,0,0,0,1
0,8.3000,6.5000,0,0,0,0,1
1,8.1000,5.8000,0,0,0,0,1
1,6.4000,4.8000,0,0,0,0,1
1,3.8000,6.6000,1,0,0,0,1
0,8.5000,6.5000,0,0,0,0,1
1,7.7000,7.4000,1,0,0,0,1
1,3.7000,6.8000,1,0,0,0,1
1,6.1000,6.2000,0,0,0,0,1
0,7.8000,5.0000,1,0,0,0,1
0,6.5000,7.0000,0,0,0,0,1
0,5.8000,4.1000,1,0,0,0,1
0,8.0000,7.6000,0,0,0,0,1
0,7.1000,5.8000,0,0,0,0,1
0,6.6000,5.8000,0,0,0,0,1
0,7.0000,5.7000,1,0,0,0,1
0,5.8000,5.5000,1,0,0,0,1
0,6.0000,3.4000,0,0,0,0,1
1,7.5000,6.9000,0,0,0,0,1
1,6.4000,7.6000,1,0,0,0,1
1,5.5000,6.4000,0,0,0,0,1
1,5.6667,6.2000,1,0,0,0,1
1,5.2000,5.2000,1,0,0,0,1
0,6.0000,6.2000,0,0,0,0,1
0,6.2000,5.1000,0,0,0,0,1
1,4.4000,6.3000,0,0,0,0,1
1,6.8000,6.8000,1,0,0,0,1
0,5.6000,6.3000,0,0,0,0,1
0,7.2000,4.5000,1,0,0,0,1
1,6.2000,7.7000,0,0,0,0,1
1,6.3000,5.8000,0,0,0,0,1
1,5.1000,5.2000,0,0,0,0,1
0,8.3000,7.1000,0,0,0,0,1
1,6.8000,5.8000,0,0,0,0,1
0,6.9000,6.3000,0,0,0,0,1
0,5.7000,5.6000,0,0,0,0,1
0,8.5000,8.1000,0,0,0,0,1
0,6.0000,3.4000,1,0,0,0,1
1,6.5000,6.6000,1,0,0,0,1
0,7.7000,7.3000,1,0,0,0,1
1,4.9000,6.1000,0,0,0,0,1
0,7.6000,3.7000,0,0,0,0,1
0,3.2000,5.6000,0,0,0,0,1
0,6.4000,7.0000,0,0,0,0,1
0,9.0000,6.5000,0,0,0,0,1
0,5.2000,4.6000,0,0,0,0,1
1,6.3000,7.5000,0,0,0,0,1
0,7.0000,3.9000,0,0,0,0,1
0,7.3000,6.5000,1,0,0,0,1
0,6.0000,7.5000,0,0,0,0,1
0,8.2000,5.4000,0,0,0,0,0
0,7.9000,6.2000,0,0,0,0,0
0,7.3000,5.4000,0,0,0,0,0
0,8.3000,5.8000,0,0,0,0,0
1,7.2000,5.0000,0,0,0,0,0
1,6.4000,5.8000,0,0,0,0,0
1,5.0000,6.2000,1,0,0,0,0
0,7.7000,6.2000,0,0,0,0,0
1,3.2000,7.2000,1,0,0,0,0
1,5.6000,5.3000,1,0,0,0,0
1,5.8000,6.8000,0,0,0,0,0
0,8.5000,7.1000,1,0,0,0,0
1,5.0000,6.0000,1,0,0,0,0
1,6.7000,5.9000,1,0,0,0,0
1,5.8000,6.9000,1,0,0,0,0
0,7.2000,6.3000,1,0,0,0,0
0,7.1000,4.5000,0,0,0,0,0
1,5.2000,4.4000,0,0,0,0,0
1,6.4000,7.0000,1,0,0,0,0
0,7.2000,5.0000,0,0,0,0,0
0,7.7000,5.1000,0,0,0,0,0
1,6.2000,5.2000,0,0,0,0,0
0,7.5000,6.5000,0,0,0,0,0
0,4.9000,5.6000,0,0,0,0,0
1,6.8000,4.7000,1,0,0,0,0
0,6.5000,5.0000,0,0,0,0,0
0,8.0000,5.8000,0,0,0,0,0
0,6.0000,5.7000,0,0,0,0,0
0,8.7000,7.8000,0,0,0,0,0
1,5.8000,6.0000,0,0,0,0,0
1,6.1000,7.1000,0,0,0,0,0
1,5.2000,7.7000,0,0,0,0,0
1,6.5000,6.9000,1,0,0,0,0
1,8.0000,7.9000,1,0,0,0,0
1,4.8000,6.8000,0,0,0,0,0
0,4.7000,5.7000,0,0,0,0,0
0,8.9000,8.6000,0,0,0,0,0
0,5.4000,7.1000,1,0,0,0,0
1,4.5000,6.1000,0,0,0,0,0
0,5.8000,5.8000,0,0,0,0,0
1,5.6000,8.0000,1,0,0,0,0
1,6.0000,6.9000,0,0,0,0,0
0,7.8000,8.2000,0,0,0,0,0
0,6.8000,5.9000,1,0,0,0,0
1,6.2000,6.3000,0,0,0,0,0
1,6.7000,4.7000,0,0,0,0,0
1,7.3000,7.1000,1,0,0,0,0
1,4.3000,6.4000,1,0,0,0,0
0,8.6000,5.7000,0,0,0,0,0
1,5.6000,7.1000,0,0,0,0,0
0,5.0000,4.4000,1,0,0,0,0
0,8.8000,7.8000,0,0,0,0,0
1,7.2000,6.0000,1,0,0,0,0
0,8.5000,5.2222,0,0,0,0,0
1,4.8000,6.0000,0,0,0,0,0
0,6.8000,6.0000,0,0,0,0,0
1,6.2000,6.0000,1,0,0,0,0
1,4.8000,6.2000,0,0,0,0,0
0,7.5000,6.0000,0,0,0,0,0
1,5.4000,6.1000,0,0,0,0,0
1,4.0000,6.6000,0,0,0,0,0
0,3.2000,6.7000,0,0,0,0,0
1,5.4000,5.8000,0,0,0,0,0
