FACSEX,FACETHN,FACNAT,FACRANK,EMPLOYM,SALARY,YRSTEACH,YRSUT,DEGREE,SAMPLE,REMIND,NSTUD,STUDRANK,STUDSEX,GRADE,GPA,SATISFY,RELIGION,PSD,ITEM13,ITEM14,ITEM15,ITEM16,ITEM17,ITEM18,ITEM19,ITEM20,ITEM21,ITEM22,ITEM23,ITEM24,ITEM25,ITEM26,ITEM27,ITEM28,ITEM29,ITEM30,ITEM31,ITEM32,ITEM33,ITEM34,ITEM35,ITEM36,ITEM37,ITEM38,ITEM39,ITEM40,ITEM41,ITEM42,ITEM43,ITEM44,ITEM45,ITEM46,ITEM47,ITEM48,ITEM49,ITEM50,ITEM51,ITEM52,RACE,SEXISM,RACISM,RPOLICY,CASTEMAN,COMPETEN,SENSITIV,CSTATUS
MALE,WHITE,USCITIZEN,ASSISTANT PROF,100,35,2,2,PH.D.,1,2,6,5,1,B,4.0-3.5 ,1,PROTESTANT,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,2,3,4,3,3,4,3,3,1,3.076923077,3,3.5,3.5,4.8,5,7.03
MALE,BLACK,USCITIZEN,ASSOCIATE PROF,100,35,8,3,PH.D.,1,1,29,3,1,C,LESS THAN 2.00,1,PROTESTANT,4,5,5,5,4,5,4,5,4,4,4,5,5,2,4,3,4,3,4,4,3,2,3,3,2,3,2,3,3,3,4,5,5,3,3,3,4,3,3,3,3,1,3.153846154,3,4.5,3,4.8,4.2,7.03
MALE,BLACK,USCITIZEN,ASSOCIATE PROF,100,35,8,3,PH.D.,1,1,29,3,1,B,2.99-2.50,1,OTHER,5,5,5,5,4,4,5,5,4,4,4,5,5,2,1,1,3,4,1,2,1,3,1,3,1,3,1,1,1,3,2,3,5,4,2,3,4,1,1,3,3,1,2.692307692,1.375,2,1,4.6,4.4,7.03
MALE,BLACK,USCITIZEN,ASSOCIATE PROF,100,35,8,3,PH.D.,1,1,29,3,1,B,2.49-2.0,1,PROTESTANT,4,4,5,5,5,4,4,4,4,3,3,4,3,0,4,2,3,4,4,4,3,3,3,3,2,4,2,2,2,5,5,5,5,5,3,3,3,4,3,3,4,1,3.923076923,2.625,4.5,3,4.6,3.6,7.03
MALE,BLACK,USCITIZEN,ASSOCIATE PROF,100,35,8,3,PH.D.,1,1,29,0,2,B,4.0-3.5 ,5,OTHER,2,5,4,4,4,5,4,3,4,4,3,4,4,2,1,2,2,2,3,2,2,2,2,2,1,3,1,1,1,3,2,3,3,3,3,3,3,2,2,2,1,1,2.153846154,1.875,2,2,4.4,3.6,7.03
MALE,BLACK,USCITIZEN,ASSOCIATE PROF,100,35,8,3,PH.D.,1,1,29,2,1,B,2.99-2.50,1,PROTESTANT,4,5,5,5,5,5,5,5,5,5,4,5,5,5,2,1,3,3,3,4,3,2,2,2,1,5,3,3,1,1,2,5,5,4,3,4,3,3,3,3,3,1,2.923076923,2.25,3.5,2.5,5,4.8,7.03
MALE,BLACK,USCITIZEN,ASSOCIATE PROF,100,35,8,3,PH.D.,1,1,29,3,1,A,2.99-2.50,1,PROTESTANT,4,5,5,5,5,5,4,4,5,4,4,5,5,5,2,2,3,2,3,4,2,3,2,2,2,4,1,3,1,2,2,5,3,5,3,3,4,3,3,3,2,1,2.846153846,2.125,3.5,2.5,5,4.2,7.03
MALE,BLACK,USCITIZEN,ASSOCIATE PROF,100,35,8,3,PH.D.,1,1,29,2,1,A,2.49-2.0,1,OTHER,2,5,5,5,5,5,5,5,5,4,4,4,5,2,2,1,2,2,2,3,1,1,2,2,1,3,1,1,1,2,2,3,2,2,2,2,3,2,2,2,2,1,2.076923077,1.375,2.5,2,5,4.6,7.03
MALE,BLACK,USCITIZEN,ASSOCIATE PROF,100,35,8,3,PH.D.,1,1,29,3,2,A,4.0-3.5 ,1,OTHER,3,5,5,5,5,5,5,5,5,4,5,5,5,2,3,1,4,2,4,2,2,3,3,3,2,3,3,2,1,2,4,3,5,3,4,4,3,3,4,4,5,6,3.153846154,2.625,3,3.5,5,4.8,0
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,1,C,LESS THAN 2.00,3,OTHER,3,5,4,5,5,3,4,5,5,3,3,4,3,2,3,2,2,3,3,5,2,4,3,2,3,5,2,2,4,3,2,3,5,3,1,3,4,3,3,3,3,1,3.230769231,2.375,3,3,4.4,4,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,2,B,2.49-2.0,1,CATHOLIC,3,5,5,5,5,5,5,5,3,5,5,5,4,2,2,1,2,4,1,3,2,1,2,5,1,3,1,1,1,1,4,4,4,2,1,1,3,1,5,1,1,1,2.230769231,1.25,3,3.5,5,4.6,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,2,1,B,2.49-2.0,1,CATHOLIC,1,5,5,5,5,4,4,4,4,4,4,4,5,1,1,1,2,4,2,2,2,3,1,1,1,5,1,1,1,1,5,1,5,5,1,1,3,1,2,1,1,1,2.384615385,1.375,1,1.5,4.8,4,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,2,C,LESS THAN 2.00,2,OTHER,3,5,4,5,5,4,4,3,3,4,4,3,3,2,2,1,1,2,1,5,2,1,2,1,1,3,1,1,1,2,2,3,3,5,1,2,2,1,2,2,2,2,2.307692308,1.125,2.5,2,4.6,3.6,4.17
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,2,B,2.99-2.50,1,PROTESTANT,4,5,5,4,5,5,5,4,3,4,4,4,3,2,4,2,3,3,2,4,3,2,4,2,2,4,2,3,3,3,3,3,5,5,2,5,3,1,5,3,4,1,3.307692308,2.375,3.5,4.5,4.8,4,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,1,B,2.99-2.50,1,CATHOLIC,3,5,5,5,5,5,5,5,4,4,4,5,4,2,4,2,3,3,3,4,2,2,2,3,2,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3.153846154,2.375,3.5,2.5,5,4.4,3.52
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,2,2,D,2.49-2.0,2,PROTESTANT,4,5,5,5,4,4,5,5,4,5,4,5,3,2,2,1,2,4,2,3,2,4,3,4,2,5,2,1,2,1,2,3,3,4,2,2,3,2,4,2,3,1,2.923076923,1.875,2.5,3.5,4.6,4.6,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,2,C,2.49-2.0,2,PROTESTANT,3,5,5,5,5,5,4,4,3,4,2,4,4,2,2,1,2,3,2,2,3,3,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,3,2,3,1,2.384615385,2,2.5,3,5,3.4,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,2,B,2.49-2.0,1,CATHOLIC,0,4,4,4,4,4,4,4,3,3,2,3,3,2,1,2,4,3,3,2,4,2,5,2,3,4,3,3,3,2,4,3,3,4,3,4,5,3,4,4,5,0,3.076923077,3.125,2,4.5,4,3.2,0
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,1,D,2.49-2.0,2,PROTESTANT,4,5,4,5,5,5,5,4,5,4,4,4,3,4,3,3,5,5,3,4,5,3,5,3,4,5,3,3,4,3,3,5,5,1,4,2,5,3,4,3,3,1,3.153846154,3.875,4,4.5,4.8,4.4,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,3,1,A,4.0-3.5 ,2,PROTESTANT,4,5,5,4,4,4,3,4,3,4,2,4,3,3,2,2,3,3,3,4,3,2,3,4,2,3,3,4,2,3,3,5,3,2,3,2,3,3,4,3,3,1,2.846153846,2.625,3.5,3.5,4.4,3.2,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,2,D,LESS THAN 2.00,2,PROTESTANT,4,4,4,4,5,3,4,3,3,4,3,3,3,3,2,2,2,3,2,3,3,2,3,3,2,2,2,3,2,3,2,2,3,4,3,3,3,3,3,3,3,1,2.769230769,2.25,2,3,4,3.4,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,2,B,4.0-3.5 ,2,PROTESTANT,4,4,5,4,5,3,4,4,4,4,3,3,2,2,2,2,2,4,2,2,3,2,3,3,1,3,1,2,2,3,3,2,3,4,2,3,3,1,3,3,3,1,2.769230769,1.875,2,3,4.2,3.8,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,1,C,2.99-2.50,2,PROTESTANT,4,5,5,5,4,5,5,3,5,3,4,4,4,2,1,2,3,4,2,2,3,2,3,1,3,5,3,3,2,2,3,4,5,4,2,3,4,2,3,3,2,1,2.615384615,2.5,2.5,3,4.8,4,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,3,1,C,2.99-2.50,2,JEWISH,1,5,5,5,5,4,4,4,4,3,2,4,3,3,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,3,1,1,2,2,1,1.538461538,1.25,2,1,4.8,3.4,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,2,C,2.49-2.0,2,PROTESTANT,3,5,5,5,5,5,4,5,4,3,2,4,3,3,2,1,2,4,3,2,2,1,4,2,2,3,1,3,1,2,3,3,5,5,2,3,3,1,5,2,4,1,2.615384615,1.75,2.5,4.5,5,3.6,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,1,C,2.99-2.50,3,CATHOLIC,4,5,5,5,5,4,4,4,4,4,3,4,3,2,2,2,3,3,5,5,1,5,1,1,5,1,1,1,5,3,1,3,5,1,1,5,5,3,1,1,5,3,2.769230769,2.875,2.5,1,4.8,3.8,3.52
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,3,1,B,2.49-2.0,2,OTHER,4,4,4,5,4,4,4,4,3,4,4,4,3,2,3,2,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,1,3.153846154,2.875,3,3,4.2,3.8,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,1,A,4.0-3.5 ,1,CATHOLIC,3,5,5,5,5,5,5,5,5,5,5,4,4,4,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,4,3,1,1,1,4,1,2,2,1,1,1.230769231,1.25,2.5,1.5,5,5,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,2,A,3.49-3.0,2,PROTESTANT,2,4,4,4,4,4,4,4,3,4,3,4,0,1,2,2,3,2,2,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2.923076923,2.625,2.5,3,4,3.6,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,1,B,2.49-2.0,2,OTHER,2,4,5,5,0,4,4,4,3,4,3,3,4,2,2,1,1,2,1,1,3,1,1,2,1,3,1,1,1,0,0,2,2,0,1,1,1,1,0,0,1,1,NA,1.25,2,NA,NA,3.6,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,3,1,D,2.49-2.0,3,OTHER,2,5,5,5,5,5,5,5,3,3,4,3,3,0,4,1,2,5,1,4,3,0,4,3,3,4,3,2,0,1,3,5,5,5,2,5,3,1,2,1,1,1,NA,NA,4.5,3,5,4,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,2,1,A,4.0-3.5 ,2,PROTESTANT,4,5,5,4,5,5,4,5,3,5,0,4,0,1,2,1,2,5,1,5,2,3,2,2,2,5,1,0,0,3,3,0,5,3,2,3,3,2,3,4,4,1,3.384615385,NA,NA,2.5,4.8,NA,7.03
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,2,1,A,4.0-3.5 ,1,CATHOLIC,2,4,3,4,5,3,3,3,3,4,2,3,2,3,2,1,2,3,1,3,1,1,1,3,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,6,2.692307692,1.375,2.5,2,3.8,3,0
MALE,WHITE,USCITIZEN,FULL PROF,100,46,14,11,PH.D.,2,1,103,1,1,C,2.99-2.50,1,PROTESTANT,3,4,4,3,2,3,2,4,4,4,4,3,2,2,2,1,2,3,1,4,2,1,1,1,1,4,2,2,1,2,2,3,5,2,1,1,3,1,1,1,2,0,2,1.375,2.5,1,3.2,3.6,0
MALE,WHITE,USCITIZEN,LECTURER-INSTRUCTOR,100,19,16,3,PH.D.,1,1,28,1,2,A,4.0-3.5 ,1,PROTESTANT,4,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,2,4,1,2,1,3,2,1,5,1,1,1,1,3,3,5,3,2,3,3,2,3,2,2,1,2.153846154,1.625,2,3,5,5,7.03
MALE,WHITE,USCITIZEN,LECTURER-INSTRUCTOR,100,19,16,3,PH.D.,1,1,28,4,1,C,2.99-2.50,1,NOT RELIGIOUS,0,5,5,5,5,5,5,5,5,4,5,4,4,2,1,1,2,3,2,4,2,2,1,2,1,1,1,1,1,2,3,4,2,2,2,2,3,2,2,2,2,6,2.153846154,1.5,2.5,1.5,5,4.8,0
MALE,WHITE,USCITIZEN,LECTURER-INSTRUCTOR,100,19,16,3,PH.D.,1,1,28,3,2,A,2.49-2.0,5,OTHER,2,5,5,5,5,4,4,4,4,4,4,4,5,2,2,1,2,2,2,1,4,2,3,2,2,3,2,2,1,3,2,2,5,2,2,2,3,2,2,2,3,3,2.153846154,2,2,2.5,4.8,4,3.52
FEMALE,WHITE,USCITIZEN,ASSISTANT PROF,100,23,3,3,B.A.,1,2,2,4,1,B,2.99-2.50,1,CATHOLIC,3,4,4,4,2,2,4,3,4,3,3,4,4,2,2,1,1,4,1,4,1,2,2,3,2,4,2,2,2,2,3,4,3,4,2,3,2,2,1,2,3,1,2.923076923,1.5,3,1.5,3.2,3.4,7.03
FEMALE,WHITE,USCITIZEN,ASSISTANT PROF,100,23,3,3,B.A.,1,2,5,4,2,B,4.0-3.5 ,1,PROTESTANT,5,4,4,4,5,5,4,4,5,4,3,5,5,2,2,1,2,3,2,4,1,2,3,3,2,4,2,1,2,1,3,3,5,5,2,1,1,1,2,1,3,1,2.538461538,1.75,2.5,2.5,4.4,4,7.03
FEMALE,WHITE,USCITIZEN,ASSISTANT PROF,100,23,3,3,B.A.,1,2,5,4,1,B,2.99-2.50,1,PROTESTANT,4,4,4,4,4,3,4,3,3,2,4,3,3,2,3,2,2,3,2,4,2,4,3,2,2,3,1,2,1,2,3,3,3,3,2,2,3,2,2,2,2,1,2.692307692,1.75,3,2.5,3.8,3.2,7.03
FEMALE,WHITE,USCITIZEN,ASSISTANT PROF,100,23,3,3,B.A.,1,2,5,5,2,B,2.99-2.50,1,PROTESTANT,4,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2,3,4,3,4,3,2,5,2,5,5,2,2,3,1,2,2,5,5,1,2,4,1,5,3,3,1,2.692307692,2.75,1.5,5,5,5,7.03
MALE,WHITE,USCITIZEN,ASSOCIATE PROF,100,35,8,0,PH.D.,2,2,62,1,2,B,2.49-2.0,2,OTHER,3,0,4,3,2,4,3,4,3,2,4,3,3,3,2,4,2,4,3,4,3,2,3,2,2,4,1,2,1,2,2,4,5,4,2,2,3,2,3,2,2,1,2.615384615,2.25,3,3,NA,3.2,7.03
MALE,WHITE,USCITIZEN,ASSOCIATE PROF,100,35,8,0,PH.D.,2,2,62,2,2,C,2.49-2.0,1,PROTESTANT,4,4,4,4,4,4,3,3,3,4,3,3,3,3,5,3,3,3,3,2,4,3,5,4,5,5,4,3,4,2,2,4,5,5,4,4,4,2,5,2,2,1,3.153846154,3.75,4.5,5,4,3.2,7.03
MALE,WHITE,USCITIZEN,ASSOCIATE PROF,100,35,8,0,PH.D.,2,2,62,1,2,C,2.49-2.0,1,CATHOLIC,4,4,5,3,4,4,3,4,3,3,4,3,4,3,2,3,3,4,2,3,3,4,3,2,3,4,2,3,2,3,2,4,5,5,3,3,2,3,4,4,3,1,3.230769231,2.625,3,3.5,4,3.4,7.03
MALE,WHITE,USCITIZEN,ASSOCIATE PROF,100,35,8,0,PH.D.,2,2,62,1,1,B,4.0-3.5 ,2,CATHOLIC,2,4,4,3,3,4,2,3,3,2,2,3,2,2,5,1,2,3,3,4,2,3,1,2,1,5,2,1,1,3,4,5,5,3,3,3,3,2,2,4,4,3,3.461538462,1.875,5,1.5,3.6,2.4,3.52
MALE,WHITE,USCITIZEN,ASSOCIATE PROF,100,35,8,0,PH.D.,2,2,62,1,1,B,2.49-2.0,3,PROTESTANT,4,5,5,4,4,3,4,4,3,4,5,3,3,2,3,1,1,4,1,4,1,3,3,2,3,3,3,1,3,2,3,3,3,2,1,1,3,2,2,2,2,6,2.538461538,1.75,3,2.5,4.2,4,0
MALE,WHITE,USCITIZEN,ASSOCIATE PROF,100,35,8,0,PH.D.,2,2,62,1,1,A,4.0-3.5 ,3,PROTESTANT,4,4,4,4,3,4,4,4,3,4,4,4,3,2,4,1,1,3,1,4,3,3,2,2,1,5,1,3,1,3,5,5,5,5,2,3,3,2,2,3,2,1,3.384615385,1.375,4.5,2,3.8,3.8,7.03
MALE,WHITE,USCITIZEN,ASSOCIATE PROF,100,35,8,0,PH.D.,2,2,62,4,1,A,2.49-2.0,5,PROTESTANT,3,4,4,4,4,4,4,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,3,3,2,2,2,2,2,2,2,2,1,2.307692308,2,2.5,2,4,3.8,7.03
MALE,WHITE,USCITIZEN,ASSOCIATE PROF,100,35,8,0,PH.D.,2,2,62,5,2,B,2.99-2.50,2,PROTESTANT,2,5,5,4,5,5,2,4,3,4,1,3,3,1,1,1,3,1,3,1,3,1,1,1,1,3,1,1,1,1,2,2,1,3,1,1,1,1,3,1,1,1,1.384615385,1.75,1.5,2,4.8,2.8,7.03
MALE,WHITE,USCITIZEN,ASSOCIATE PROF,100,35,8,0,PH.D.,2,2,62,2,1,B,3.49-3.0,3,CATHOLIC,4,4,5,3,3,3,4,3,3,2,4,3,2,3,3,2,3,4,3,5,4,4,4,3,3,5,2,2,2,2,4,5,4,5,2,5,4,3,4,4,4,1,3.923076923,2.625,4,4,3.6,3.2,7.03
MALE,WHITE,USCITIZEN,ASSOCIATE PROF,100,35,8,0,PH.D.,2,2,62,2,1,B,2.99-2.50,2,CATHOLIC,4,4,4,4,4,4,5,5,5,4,4,4,4,2,3,1,1,3,2,3,2,2,3,2,1,4,2,1,1,1,4,3,4,3,1,2,2,1,3,1,2,1,2.384615385,1.375,3,3,4,4.6,7.03
MALE,WHITE,USCITIZEN,ASSOCIATE PROF,100,35,8,0,PH.D.,2,2,62,2,1,D,2.99-2.50,2,CATHOLIC,3,4,3,1,2,3,2,3,3,2,2,2,3,3,1,1,2,2,3,1,3,1,1,2,1,2,1,1,1,2,1,3,2,3,3,2,4,3,2,2,1,1,1.769230769,1.875,2,1.5,2.6,2.4,7.03
MALE,BLACK,FOREIGN,LECTURER-INSTRUCTOR,100,21,7,7,PH.D.,1,2,18,4,1,A,2.49-2.0,1,PROTESTANT,3,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,2,3,2,4,3,2,4,2,2,4,2,2,2,3,2,4,4,4,2,4,3,2,4,2,2,1,2.769230769,2.125,3,4,5,5,7.03
MALE,BLACK,FOREIGN,LECTURER-INSTRUCTOR,100,21,7,7,PH.D.,1,2,18,3,2,B,2.99-2.50,1,OTHER,5,5,4,4,4,4,5,5,4,3,4,4,3,3,2,1,2,5,2,4,2,2,2,1,3,4,2,3,1,2,3,4,5,5,1,4,4,1,4,2,5,1,3.076923077,1.75,3,3,4.2,4.2,7.03
MALE,BLACK,FOREIGN,LECTURER-INSTRUCTOR,100,21,7,7,PH.D.,1,2,18,3,2,B,2.99-2.50,2,OTHER,2,4,4,4,4,5,5,5,3,5,5,4,3,1,1,1,1,1,1,1,3,1,5,1,1,5,1,1,1,1,1,3,4,3,1,1,1,1,5,1,1,2,1.461538462,1.25,2,5,4.2,4.6,4.17
MALE,BLACK,FOREIGN,LECTURER-INSTRUCTOR,100,21,7,7,PH.D.,1,2,18,3,2,B,3.49-3.0,1,CATHOLIC,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,2,2,2,2,3,4,2,3,3,2,4,3,2,3,3,3,4,5,3,3,2,4,2,2,3,1,1,2.692307692,2.625,4,2.5,4,4,7.03
MALE,BLACK,FOREIGN,LECTURER-INSTRUCTOR,100,21,7,7,PH.D.,1,2,18,2,2,B,2.99-2.50,1,PROTESTANT,4,4,4,4,4,4,4,5,4,3,2,4,3,1,2,1,2,5,2,4,2,2,4,2,1,4,1,1,3,2,1,4,5,3,1,2,2,2,5,3,2,1,2.615384615,1.625,3,4.5,4,3.6,7.03
MALE,WHITE,USCITIZEN,LECTURER-INSTRUCTOR,100,19,16,3,PH.D.,1,1,23,1,1,A,3.49-3.0,1,PROTESTANT,3,5,5,5,4,3,1,4,4,3,3,3,3,2,1,1,1,3,1,4,1,1,4,1,1,5,1,1,1,1,1,2,5,1,1,1,1,1,3,1,1,1,1.692307692,1,1.5,3.5,4.4,3,7.03
MALE,WHITE,USCITIZEN,LECTURER-INSTRUCTOR,100,19,16,3,PH.D.,1,1,23,1,2,C,2.99-2.50,1,CATHOLIC,4,4,4,4,4,4,3,4,3,3,4,3,3,3,2,2,3,3,2,2,2,2,3,3,2,4,2,2,2,4,3,5,4,4,2,2,4,2,3,3,2,1,2.769230769,2.125,3.5,3,4,3.4,7.03
MALE,WHITE,USCITIZEN,LECTURER-INSTRUCTOR,100,19,16,3,PH.D.,1,1,23,1,1,B,2.49-2.0,1,CATHOLIC,3,4,4,4,4,3,3,4,3,3,4,4,3,2,1,1,1,3,1,2,2,1,3,3,1,5,1,1,1,2,2,5,5,5,2,3,2,2,3,1,2,3,2.461538462,1.25,3,3,3.8,3.4,3.52
MALE,WHITE,USCITIZEN,LECTURER-INSTRUCTOR,100,19,16,3,PH.D.,1,1,23,1,2,A,3.49-3.0,1,CATHOLIC,3,4,5,4,3,3,4,4,4,4,4,3,3,1,3,1,2,2,2,2,1,1,2,3,1,4,1,2,1,2,1,5,4,3,2,3,2,2,3,2,3,3,2.384615385,1.375,4,2.5,3.8,4,3.52
MALE,WHITE,USCITIZEN,LECTURER-INSTRUCTOR,100,19,16,3,PH.D.,1,1,23,1,1,F,LESS THAN 2.00,1,MUSLIM,1,1,1,1,1,1,1,1,1,1,5,4,4,5,1,1,1,5,1,5,1,3,5,5,1,5,1,1,1,5,5,4,5,5,1,4,5,4,5,4,5,2,4.307692308,1,2.5,5,1,1.8,4.17
